time,status,gaze_x,gaze_y
0.636,INSIDE,0.08364258,0.0022853853
0.693,INSIDE,0.15625489,0.008603554
0.723,OUTSIDE,0.20349464,0.0023191795
0.754,OUTSIDE,0.24593747,-0.010250964
0.784,OUTSIDE,0.27337694,-0.018061295
0.822,OUTSIDE,0.3176334,-0.01244149
0.846,OUTSIDE,0.338359,-0.02540826
0.881,OUTSIDE,0.3632673,-0.018106217
0.909,OUTSIDE,0.36715332,-0.022076817
0.933,OUTSIDE,0.37331593,-0.028445106
0.962,OUTSIDE,0.36137,-0.065834425
0.985,OUTSIDE,0.34905273,-0.08658703
1.003,OUTSIDE,0.3884043,-0.064945936
1.030,OUTSIDE,0.42093086,-0.06965039
1.065,OUTSIDE,0.44509107,-0.059567653
1.107,OUTSIDE,0.46302858,-0.053937957
1.131,OUTSIDE,0.45676163,-0.045556862
1.158,OUTSIDE,0.46570483,-0.055254065
1.196,OUTSIDE,0.4672776,-0.055798206
1.227,OUTSIDE,0.4791451,-0.049907744
1.281,OUTSIDE,0.47265744,-0.061613888
1.302,OUTSIDE,0.45485923,-0.08626937
1.338,OUTSIDE,0.42137998,-0.12564735
1.371,OUTSIDE,0.3974318,-0.14559475
1.403,OUTSIDE,0.41377354,-0.12145367
1.441,OUTSIDE,0.4090995,-0.12962207
1.467,OUTSIDE,0.41542238,-0.11446592
1.494,OUTSIDE,0.43405738,-0.06782146
1.530,OUTSIDE,0.44658917,-0.015779462
1.558,OUTSIDE,0.45902354,0.028981235
1.600,OUTSIDE,0.43952936,0.02229988
1.624,OUTSIDE,0.41416466,0.054940972
1.676,OUTSIDE,0.37165356,0.05052533
1.707,OUTSIDE,0.33416873,0.050675347
1.739,OUTSIDE,0.31118864,0.05188815
1.775,OUTSIDE,0.26994386,0.055749193
1.802,OUTSIDE,0.26996657,0.053132713
1.834,OUTSIDE,0.2541988,0.08113821
1.863,OUTSIDE,0.24722627,0.06842394
1.898,OUTSIDE,0.24959648,0.0788782
1.933,OUTSIDE,0.2725691,0.07060476
1.964,OUTSIDE,0.27502686,0.08329784
1.994,OUTSIDE,0.29828054,0.061698228
2.028,OUTSIDE,0.303645,0.059750646
2.071,OUTSIDE,0.30615503,0.07339284
2.110,OUTSIDE,0.32248724,0.059976365
2.140,OUTSIDE,0.3341395,0.044345517
2.171,OUTSIDE,0.3346789,0.044344474
2.204,OUTSIDE,0.33608186,0.03125399
